Geography,Newfoundland and Labrador,Newfoundland and Labrador,Newfoundland and Labrador,Prince Edward Island,Prince Edward Island,Prince Edward Island,Nova Scotia,Nova Scotia,Nova Scotia,New Brunswick,New Brunswick,New Brunswick,Quebec,Quebec,Quebec,Ontario,Ontario,Ontario,Manitoba,Manitoba,Manitoba,Saskatchewan,Saskatchewan,Saskatchewan,Alberta,Alberta,Alberta,British Columbia,British Columbia,British Columbia,Yukon Territory,Yukon Territory,Yukon Territory,Northwest Territories,Northwest Territories,Northwest Territories,Nunavut,Nunavut,Nunavut
Gender (3) 5 6,Total,Men,Women,Total,Men,Women,Total,Men,Women,Total,Men,Women,Total,Men,Women,Total,Men,Women,Total,Men,Women,Total,Men,Women,Total,Men,Women,Total,Men,Women,Total,Men,Women,Total,Men,Women,Total,Men,Women
53201 Coaches,85,45,45,95,55,40,385,205,185,210,85,130,"4,625","2,565","2,060","5,390","2,935","2,455",295,145,145,290,160,125,"2,095","1,080","1,020","3,210","1,720","1,490",10,0,10,10,10,0,0,0,0
53202 Sports officials and referees,130,110,20,50,35,15,180,145,35,95,75,20,"1,285","1,035",255,"1,810","1,460",355,140,100,40,185,150,35,575,465,110,745,605,130,0,0,0,0,0,0,0,0,0
54 Support occupations in sport,"1,415",625,795,475,220,260,"2,995","1,080","1,915","1,795",745,"1,050","26,910","11,260","15,645","46,520","19,610","26,905","3,300","1,300","2,005","2,735",925,"1,810","12,770","5,090","7,675","19,515","7,880","11,635",200,95,100,140,75,65,65,30,40
541 Support occupations in sport,"1,415",625,795,475,220,260,"2,995","1,080","1,915","1,795",745,"1,050","26,910","11,260","15,645","46,520","19,610","26,905","3,300","1,300","2,005","2,735",925,"1,810","12,770","5,090","7,675","19,515","7,880","11,635",200,95,100,140,75,65,65,30,40
"5410 Program leaders and instructors in recreation, sport and fitness","1,415",625,795,475,220,260,"2,995","1,080","1,915","1,795",745,"1,050","26,910","11,260","15,645","46,520","19,610","26,905","3,300","1,300","2,005","2,735",925,"1,810","12,770","5,090","7,675","19,515","7,880","11,635",200,95,100,140,75,65,65,30,40
"54100 Program leaders and instructors in recreation, sport and fitness","1,415",625,795,475,220,260,"2,995","1,080","1,915","1,795",745,"1,050","26,910","11,260","15,645","46,520","19,610","26,905","3,300","1,300","2,005","2,735",925,"1,810","12,770","5,090","7,675","19,515","7,880","11,635",200,95,100,140,75,65,65,30,40
55 Support occupations in art and culture,25,20,0,0,0,0,75,50,25,65,25,45,905,485,420,"2,430","1,070","1,360",150,95,55,55,35,30,670,260,410,970,440,535,0,0,0,0,0,0,0,0,0
551 Support occupations in art and culture,25,20,0,0,0,0,75,50,25,65,25,45,905,485,420,"2,430","1,070","1,360",150,95,55,55,35,30,670,260,410,970,440,535,0,0,0,0,0,0,0,0,0
5510 Support occupations in art and culture,25,20,0,0,0,0,75,50,25,65,25,45,905,485,420,"2,430","1,070","1,360",150,95,55,55,35,30,670,260,410,970,440,535,0,0,0,0,0,0,0,0,0
55109 Other performers,25,20,0,0,0,0,75,50,25,65,25,45,905,485,420,"2,430","1,070","1,360",150,95,55,55,35,30,670,260,410,970,440,535,0,0,0,0,0,0,0,0,0
6 Sales and service occupations,"68,155","27,230","40,925","22,405","9,080","13,325","141,360","60,170","81,190","114,365","48,225","66,140","1,207,455","563,310","644,140","1,978,335","877,765","1,100,565","179,225","78,815","100,410","149,310","63,475","85,835","601,000","255,480","345,515","750,540","326,530","424,010","5,335","2,440","2,895","5,055","2,280","2,780","3,825","1,710","2,120"
60 Middle management occupations in retail and wholesale trade and customer services,"8,790","4,470","4,315","3,170","1,730","1,440","19,100","10,190","8,910","14,600","8,050","6,550","147,150","85,535","61,615","280,905","158,355","122,550","23,390","13,520","9,870","20,815","11,880","8,940","85,125","48,480","36,645","111,670","61,765","49,905",735,440,295,695,430,265,330,220,105
600 Middle management occupations in retail and wholesale trade and customer services,"8,790","4,470","4,315","3,170","1,730","1,440","19,100","10,190","8,910","14,600","8,050","6,550","147,150","85,535","61,615","280,905","158,355","122,550","23,390","13,520","9,870","20,815","11,880","8,940","85,125","48,480","36,645","111,670","61,765","49,905",735,440,295,695,430,265,330,220,105
6001 Corporate sales managers,495,325,165,100,65,30,"1,615","1,075",540,"1,185",855,325,"17,140","12,250","4,890","37,640","24,055","13,585","2,125","1,535",595,"1,490","1,040",450,"8,080","5,610","2,470","10,255","6,810","3,445",15,10,0,10,10,0,10,10,0
60010 Corporate sales managers,495,325,165,100,65,30,"1,615","1,075",540,"1,185",855,325,"17,140","12,250","4,890","37,640","24,055","13,585","2,125","1,535",595,"1,490","1,040",450,"8,080","5,610","2,470","10,255","6,810","3,445",15,10,0,10,10,0,10,10,0
6002 Retail and wholesale trade managers,"5,550","2,870","2,675","1,945","1,145",805,"11,810","6,560","5,250","8,615","4,860","3,760","78,175","44,155","34,020","165,620","96,010","69,610","14,395","8,630","5,765","13,010","7,740","5,270","52,675","30,770","21,910","65,500","37,730","27,770",430,280,155,405,280,130,240,165,75
60020 Retail and wholesale trade managers,"5,550","2,870","2,675","1,945","1,145",805,"11,810","6,560","5,250","8,615","4,860","3,760","78,175","44,155","34,020","165,620","96,010","69,610","14,395","8,630","5,765","13,010","7,740","5,270","52,675","30,770","21,910","65,500","37,730","27,770",430,280,155,405,280,130,240,165,75
6003 Managers in food service and accommodation,"2,455","1,130","1,325","1,000",455,540,"5,010","2,295","2,715","4,270","2,080","2,190","48,605","27,715","20,890","65,205","32,915","32,290","5,825","2,870","2,955","5,380","2,690","2,690","20,005","10,195","9,810","30,260","14,770","15,490",270,145,120,225,115,110,75,50,25
60030 Restaurant and food service managers,"1,855",870,985,700,325,370,"3,935","1,850","2,090","3,485","1,740","1,750","43,600","25,540","18,060","55,635","28,535","27,095","4,625","2,255","2,375","4,190","2,105","2,085","16,300","8,370","7,930","23,600","11,715","11,885",145,75,75,135,70,65,25,15,0
60031 Accommodation service managers,595,260,335,305,130,165,"1,075",450,625,780,345,435,"5,010","2,180","2,830","9,575","4,380","5,195","1,205",620,580,"1,190",590,605,"3,705","1,825","1,880","6,660","3,050","3,605",115,70,50,90,50,45,50,35,20
6004 Managers in customer and personal services,290,135,155,125,65,60,665,260,405,530,255,275,"3,230","1,415","1,810","12,435","5,370","7,060","1,040",485,555,925,405,525,"4,365","1,915","2,450","5,660","2,460","3,200",25,10,15,50,20,25,10,10,0
60040 Managers in customer and personal services,290,135,155,125,65,60,665,260,405,530,255,275,"3,230","1,415","1,810","12,435","5,370","7,060","1,040",485,555,925,405,525,"4,365","1,915","2,450","5,660","2,460","3,200",25,10,15,50,20,25,10,10,0
62 Retail sales and service supervisors and specialized occupations in sales and services,"3,755","1,750","2,005","1,575",780,795,"10,495","5,350","5,145","6,765","3,290","3,480","70,230","39,475","30,760","143,720","78,240","65,480","12,400","6,325","6,070","10,745","5,665","5,075","47,355","25,700","21,660","55,130","30,665","24,460",285,160,120,285,170,110,135,75,60
620 Retail sales and service supervisors,"2,430",845,"1,585",935,345,595,"6,085","2,315","3,770","4,295","1,655","2,635","39,185","19,230","19,955","68,515","29,140","39,380","7,520","3,075","4,445","6,750","2,910","3,835","25,545","10,610","14,930","26,505","10,880","15,625",145,85,60,150,75,75,105,55,50
6201 Retail sales supervisors,950,290,660,300,105,200,"2,115",675,"1,445","1,425",490,930,"11,435","4,125","7,310","24,585","9,320","15,260","2,615","1,050","1,570","2,380",985,"1,395","9,550","3,875","5,675","9,555","4,170","5,385",55,40,15,60,25,35,70,35,35
62010 Retail sales supervisors,950,290,660,300,105,200,"2,115",675,"1,445","1,425",490,930,"11,435","4,125","7,310","24,585","9,320","15,260","2,615","1,050","1,570","2,380",985,"1,395","9,550","3,875","5,675","9,555","4,170","5,385",55,40,15,60,25,35,70,35,35
6202 Service supervisors,"1,480",555,920,635,240,395,"3,970","1,645","2,325","2,870","1,165","1,705","27,745","15,105","12,645","43,930","19,810","24,120","4,900","2,030","2,875","4,365","1,925","2,445","15,995","6,735","9,255","16,950","6,710","10,240",90,45,45,95,55,40,35,25,15
62020 Food service supervisors,"1,060",360,700,395,135,260,"2,595","1,065","1,530","1,735",635,"1,100","19,065","10,320","8,745","25,215","9,735","15,480","2,915","1,075","1,850","2,935","1,310","1,630","10,285","4,065","6,220","10,850","3,765","7,085",55,25,25,45,30,15,10,10,10
62021 Executive housekeepers,25,0,15,25,0,25,50,0,50,50,10,40,425,125,290,595,120,470,135,20,115,85,10,75,315,75,245,330,80,245,0,0,0,0,0,0,0,0,0
"62022 Accommodation, travel, tourism and related services supervisors",40,10,35,30,15,15,165,65,105,145,85,65,705,370,330,"2,455","1,190","1,270",240,125,120,295,115,180,"1,030",330,705,"1,305",630,675,0,0,0,0,0,0,0,0,0
62023 Customer and information services supervisors,80,25,60,80,45,40,485,150,335,475,190,290,"2,805","1,045","1,750","4,595","1,660","2,935",520,185,330,220,50,170,735,230,505,"1,010",390,620,10,0,10,10,0,10,0,0,0
62024 Cleaning supervisors,135,70,65,65,25,40,390,180,210,270,135,135,"2,385","1,525",865,"5,610","3,175","2,435",715,390,325,540,255,285,"2,330","1,195","1,135","1,930",775,"1,155",15,15,0,20,10,10,10,0,10
62029 Other services supervisors,140,90,45,30,20,10,280,185,100,185,120,70,"2,375","1,710",665,"5,470","3,930","1,530",375,235,145,290,190,100,"1,295",850,450,"1,520","1,070",450,10,0,0,10,10,0,20,10,0
621 Specialized sales occupations,665,405,260,235,200,35,"2,380","1,570",810,"1,555","1,050",505,"15,595","9,675","5,925","39,965","23,915","16,055","2,990","2,015",975,"2,480","1,690",790,"13,015","8,735","4,275","12,340","7,625","4,715",45,30,10,30,20,10,10,0,10
6210 Technical sales specialists in wholesale trade and retail and wholesale buyers,665,405,260,235,200,35,"2,380","1,570",810,"1,555","1,050",505,"15,595","9,675","5,925","39,965","23,915","16,055","2,990","2,015",975,"2,480","1,690",790,"13,015","8,735","4,275","12,340","7,625","4,715",45,30,10,30,20,10,10,0,10
62100 Technical sales specialists - wholesale trade,290,225,65,85,75,10,"1,370","1,020",345,805,625,185,"7,490","5,350","2,145","23,645","17,350","6,300","1,825","1,465",360,"1,640","1,315",325,"9,015","7,110","1,905","7,415","5,480","1,935",40,30,0,15,15,0,0,0,0
62101 Retail and wholesale buyers,370,175,200,150,125,25,"1,010",550,465,750,430,320,"8,105","4,325","3,780","16,320","6,565","9,755","1,170",550,615,840,370,465,"3,995","1,630","2,370","4,925","2,145","2,780",10,0,10,15,10,10,10,0,10
622 Specialized services occupations,665,500,165,400,235,165,"2,030","1,465",565,920,580,340,"15,445","10,575","4,875","35,240","25,195","10,045","1,890","1,240",650,"1,515","1,065",455,"8,800","6,350","2,450","16,285","12,165","4,120",90,45,45,100,75,25,30,25,10
6220 Specialized occupations in services,665,500,165,400,235,165,"2,030","1,465",565,920,580,340,"15,445","10,575","4,875","35,240","25,195","10,045","1,890","1,240",650,"1,515","1,065",455,"8,800","6,350","2,450","16,285","12,165","4,120",90,45,45,100,75,25,30,25,10
62200 Chefs,520,405,115,360,210,150,"1,750","1,310",430,715,445,270,"13,020","9,115","3,905","30,975","22,870","8,105","1,560","1,050",515,"1,255",930,325,"7,995","6,005","1,985","15,030","11,555","3,475",60,45,20,90,65,25,25,25,0
62201 Funeral directors and embalmers,130,85,40,30,30,0,225,140,85,180,120,55,"1,160",620,535,"2,435","1,255","1,180",275,170,110,190,95,95,530,240,295,450,215,235,10,0,10,10,0,0,0,0,0
"62202 Jewellers, jewellery and watch repairers and related occupations",15,10,10,10,0,10,55,10,50,25,15,10,"1,265",830,430,"1,830","1,070",760,55,25,30,70,35,35,275,100,175,805,395,405,15,0,15,10,10,0,10,0,10
63 Occupations in sales and services,"8,500","2,820","5,675","2,715","1,025","1,690","17,945","7,075","10,870","14,330","4,800","9,530","179,890","76,360","103,530","279,590","122,620","156,975","22,625","8,935","13,685","19,580","7,245","12,340","77,665","30,885","46,780","109,510","46,070","63,435",705,300,405,525,225,300,215,60,155
631 Occupations in sales,"1,865",695,"1,170",640,310,330,"5,235","2,095","3,145","4,065","1,570","2,495","46,445","21,420","25,025","128,240","61,670","66,570","6,890","3,005","3,890","5,650","2,185","3,465","26,570","11,410","15,160","42,680","20,025","22,655",125,70,60,80,15,65,10,10,10
"6310 Insurance, real estate and financial sales occupations","1,865",695,"1,170",640,310,330,"5,235","2,095","3,145","4,065","1,570","2,495","46,445","21,420","25,025","128,240","61,670","66,570","6,890","3,005","3,890","5,650","2,185","3,465","26,570","11,410","15,160","42,680","20,025","22,655",125,70,60,80,15,65,10,10,10
63100 Insurance agents and brokers,815,280,540,190,95,90,"2,275",940,"1,335","2,115",810,"1,305","16,430","6,535","9,900","34,170","15,020","19,145","3,090","1,150","1,935","2,195",775,"1,410","9,400","3,440","5,960","13,160","4,830","8,330",45,20,30,20,0,20,0,0,0
63101 Real estate agents and salespersons,605,300,305,275,170,100,"1,555",715,835,"1,000",470,530,"19,385","10,380","9,000","62,770","33,760","29,010","2,040","1,295",745,"1,595",830,760,"10,860","5,950","4,910","21,665","12,325","9,340",50,35,20,25,10,20,10,0,0
63102 Financial sales representatives,445,120,330,175,45,135,"1,410",440,975,950,285,660,"10,630","4,505","6,130","31,300","12,885","18,415","1,765",560,"1,205","1,860",570,"1,290","6,315","2,020","4,295","7,850","2,865","4,985",25,15,15,30,0,25,0,0,10
632 Occupations in services,"6,640","2,125","4,505","2,075",715,"1,365","12,710","4,985","7,725","10,265","3,230","7,030","133,445","54,940","78,500","151,355","60,945","90,405","15,730","5,935","9,800","13,935","5,060","8,875","51,095","19,475","31,620","66,825","26,045","40,785",580,235,340,445,215,235,205,55,145
"6320 Cooks, butchers and bakers","4,405","1,925","2,480","1,365",635,730,"8,165","4,315","3,855","6,240","2,775","3,465","77,730","44,920","32,805","88,560","49,675","38,885","10,000","5,110","4,890","8,910","4,565","4,335","29,850","16,440","13,410","40,210","21,620","18,590",475,205,270,365,195,175,195,55,135
63200 Cooks,"3,385","1,550","1,830","1,045",530,520,"6,375","3,680","2,700","4,960","2,250","2,705","61,650","35,170","26,485","64,020","39,675","24,350","7,995","4,320","3,675","7,350","3,960","3,385","23,515","14,165","9,350","31,120","17,980","13,135",385,165,220,315,160,155,185,50,130
63201 Butchers - retail and wholesale,105,85,15,45,25,15,145,125,25,180,160,25,"6,255","5,635",620,"2,945","2,545",405,265,220,50,185,155,35,545,430,115,"1,065",885,180,30,30,0,10,10,0,0,0,0
63202 Bakers,920,290,630,275,85,195,"1,645",515,"1,130","1,100",365,740,"9,820","4,115","5,700","21,595","7,455","14,135","1,740",570,"1,170","1,375",455,920,"5,790","1,845","3,945","8,030","2,755","5,275",60,15,50,40,25,20,10,0,10
6321 Hairstylists and estheticians,"2,200",175,"2,025",705,65,635,"4,455",595,"3,860","3,910",385,"3,530","44,845","6,010","38,835","60,835","9,835","51,000","5,435",620,"4,810","4,905",395,"4,510","20,860","2,765","18,095","25,895","3,895","22,000",100,20,80,65,10,55,10,0,10
63210 Hairstylists and barbers,"1,460",115,"1,340",460,35,430,"3,015",430,"2,590","2,520",290,"2,225","25,850","4,310","21,540","36,395","7,490","28,905","3,445",425,"3,025","2,965",215,"2,750","11,915","1,905","10,010","14,535","2,865","11,665",60,20,40,55,10,45,0,0,0
"63211 Estheticians, electrologists and related occupations",745,65,680,245,35,205,"1,435",160,"1,275","1,395",90,"1,300","18,990","1,695","17,300","24,440","2,345","22,095","1,990",195,"1,790","1,945",180,"1,760","8,945",860,"8,085","11,365","1,030","10,330",40,0,40,20,0,15,0,0,0
"6322 Shoe repairers, shoemakers and upholsterers",30,25,0,10,10,0,85,75,15,110,70,40,"10,870","4,010","6,860","1,955","1,435",520,295,200,95,120,100,25,390,275,115,715,530,190,0,0,0,10,0,0,0,0,0
63220 Shoe repairers and shoemakers,15,0,0,0,0,0,25,15,10,70,35,35,"9,715","3,280","6,435",410,270,145,50,30,15,10,10,0,65,60,10,205,160,45,0,0,0,0,0,0,0,0,0
63221 Upholsterers,20,20,0,10,10,0,60,55,0,45,40,0,"1,155",730,430,"1,545","1,170",375,250,170,80,110,90,25,320,215,110,510,365,145,0,0,0,10,0,0,0,0,0
64 Sales and service representatives and other customer and personal services occupations,"17,320","7,395","9,925","5,670","2,420","3,250","38,150","16,885","21,270","32,140","14,360","17,780","332,015","156,460","175,555","550,670","238,255","312,420","50,435","23,165","27,270","37,450","16,525","20,925","160,040","68,175","91,870","200,125","87,490","112,635","1,425",615,815,"1,175",555,620,655,370,285
641 Retail salespersons and non-technical wholesale trade sales and account representatives,"9,420","4,045","5,380","3,055","1,365","1,690","20,530","9,325","11,205","14,960","7,360","7,595","174,850","87,280","87,570","306,940","141,915","165,030","25,840","12,400","13,440","21,340","9,990","11,345","95,360","42,555","52,810","117,415","52,780","64,625",790,355,430,480,220,260,150,80,70
6410 Retail salespersons and non-technical wholesale trade sales and account representatives,"9,420","4,045","5,380","3,055","1,365","1,690","20,530","9,325","11,205","14,960","7,360","7,595","174,850","87,280","87,570","306,940","141,915","165,030","25,840","12,400","13,440","21,340","9,990","11,345","95,360","42,555","52,810","117,415","52,780","64,625",790,355,430,480,220,260,150,80,70
64100 Retail salespersons and visual merchandisers,"8,980","3,705","5,275","2,920","1,275","1,645","19,120","8,380","10,740","13,955","6,625","7,335","161,095","78,155","82,940","277,040","122,400","154,640","23,545","10,770","12,775","19,915","8,980","10,935","87,885","37,490","50,390","107,040","45,890","61,150",760,335,420,470,210,260,140,75,70
64101 Sales and account representatives - wholesale trade (non-technical),440,335,100,140,95,45,"1,410",955,455,"1,000",740,260,"13,755","9,125","4,625","29,905","19,515","10,390","2,290","1,625",665,"1,420","1,010",410,"7,480","5,060","2,415","10,370","6,895","3,475",30,25,10,10,10,0,10,0,0
642 Occupations in personal service,115,20,95,50,0,50,295,30,265,330,55,270,"9,940","1,490","8,455","7,065","1,235","5,825",505,45,450,430,40,385,"2,080",245,"1,840","2,840",385,"2,460",15,0,15,15,0,15,10,0,10
6420 Occupations in personal service,115,20,95,50,0,50,295,30,265,330,55,270,"9,940","1,490","8,455","7,065","1,235","5,825",505,45,450,430,40,385,"2,080",245,"1,840","2,840",385,"2,460",15,0,15,15,0,15,10,0,10
"64200 Tailors, dressmakers, furriers and milliners",100,20,85,35,0,35,270,30,235,255,35,225,"9,450","1,265","8,180","5,940",935,"5,005",425,35,390,375,25,350,"1,695",170,"1,535","2,440",285,"2,160",10,0,10,10,0,10,10,0,10
"64201 Image, social and other personal consultants",15,0,0,20,0,20,30,0,30,75,25,45,490,220,275,"1,125",295,825,75,10,65,50,15,35,385,75,305,400,100,300,0,0,0,10,0,10,0,0,0
"643 Occupations in food, accommodation and tourism","2,275",695,"1,575",590,200,390,"3,535","1,235","2,300","3,105",960,"2,150","27,335","9,310","18,030","48,180","14,335","33,845","4,165","1,380","2,785","3,550","1,090","2,460","18,020","5,330","12,690","26,285","8,810","17,470",260,90,170,250,105,145,205,105,100
6430 Occupations in food and beverage service,"1,070",275,800,260,75,190,"1,585",575,"1,015","1,105",270,840,"10,425","2,990","7,440","19,930","5,340","14,595","1,900",620,"1,285","1,775",470,"1,305","7,955","2,370","5,585","10,875","3,355","7,520",90,35,60,50,40,10,15,10,10
64300 Maitres d'hotel and hosts/hostesses,245,35,210,105,10,95,460,75,385,395,50,340,"4,985",960,"4,030","8,070",875,"7,200",685,120,560,650,65,590,"3,305",440,"2,860","5,295",645,"4,655",25,10,15,0,0,0,0,0,0
64301 Bartenders,830,240,590,155,60,95,"1,130",495,630,715,215,495,"5,440","2,030","3,415","11,860","4,465","7,395","1,220",495,725,"1,125",410,715,"4,655","1,925","2,725","5,580","2,715","2,870",70,25,45,50,40,10,15,10,0
6431 Occupations in travel and accommodation,940,205,730,285,105,180,"1,710",525,"1,185","1,650",490,"1,160","14,085","4,505","9,580","23,840","6,435","17,400","1,820",510,"1,315","1,340",375,960,"8,265","2,090","6,175","12,260","3,525","8,735",115,30,85,175,45,130,160,70,90
64310 Travel counsellors,200,15,180,65,15,50,460,65,395,405,80,330,"4,010",920,"3,095","8,950","1,845","7,105",470,90,380,290,45,250,"1,985",385,"1,600","3,905",880,"3,025",35,10,20,30,0,25,35,0,25
64311 Pursers and flight attendants,115,25,90,15,0,15,265,75,185,70,20,45,"3,600",920,"2,680","4,620",870,"3,750",205,40,165,70,20,50,"1,695",260,"1,435","2,225",440,"1,790",15,0,15,10,0,10,0,0,0
64312 Airline ticket and service agents,210,55,155,25,10,15,290,125,165,410,145,265,"2,100",860,"1,245","4,545","1,530","3,015",355,105,245,175,60,115,"1,635",465,"1,170","2,175",750,"1,425",10,10,0,85,15,65,110,60,45
"64313 Ground and water transport ticket agents, cargo service representatives and related clerks",40,10,35,0,0,0,50,10,45,45,15,30,615,310,300,515,220,300,80,40,40,0,0,0,60,30,30,435,150,285,0,0,0,0,0,0,0,0,0
64314 Hotel front desk clerks,375,100,270,180,75,105,650,250,395,725,235,485,"3,755","1,495","2,260","5,210","1,975","3,235",720,230,490,795,240,550,"2,890",955,"1,935","3,520","1,305","2,215",55,10,45,45,20,20,20,0,20
6432 Tourism and amusement services occupations,260,215,45,45,20,20,235,130,100,350,195,155,"2,830","1,815","1,010","4,405","2,555","1,855",440,250,190,435,245,190,"1,805",875,925,"3,145","1,930","1,215",55,30,20,30,20,0,25,25,0
64320 Tour and travel guides,125,85,45,35,15,15,130,75,55,135,40,90,"1,045",520,520,780,410,370,50,35,20,55,30,30,185,85,100,730,470,260,20,10,10,10,10,0,15,15,0
64321 Casino workers,0,0,0,10,0,10,60,35,30,70,20,50,985,615,375,"3,230","1,830","1,400",300,140,155,245,105,145,"1,330",560,770,"1,560",805,760,0,0,0,0,0,0,0,0,0
64322 Outdoor sport and recreational guides,130,130,0,0,0,0,35,20,15,145,135,10,800,680,120,395,310,85,90,75,15,135,115,20,285,230,55,860,660,195,30,20,10,20,15,0,15,15,0
"644 Occupations in customer, information and protective services","5,510","2,635","2,875","1,970",850,"1,115","13,790","6,290","7,500","13,750","5,985","7,765","119,885","58,385","61,500","188,490","80,775","107,715","19,930","9,340","10,585","12,135","5,405","6,735","44,580","20,050","24,530","53,590","25,515","28,075",365,165,195,435,235,205,295,195,100
6440 Customer and information services representatives,"3,465","1,100","2,370","1,600",555,"1,045","10,055","3,395","6,665","11,260","3,980","7,275","84,200","30,450","53,750","141,570","45,485","96,090","14,540","5,200","9,340","7,620","2,145","5,475","30,055","9,355","20,700","36,970","12,625","24,350",235,65,175,185,60,130,90,25,65
64400 Customer services representatives - financial institutions,570,100,470,220,30,185,"1,680",480,"1,200","1,635",355,"1,290","16,315","4,440","11,875","26,520","7,550","18,970","2,255",375,"1,880","2,030",205,"1,825","5,670",995,"4,675","6,920","1,700","5,225",50,0,45,50,10,35,25,10,20
64401 Postal services representatives,150,30,125,35,0,35,155,25,120,270,45,220,"1,810",680,"1,140","3,040","1,030","2,005",345,150,195,270,60,215,910,335,575,"1,015",295,725,15,0,10,15,10,10,10,0,0
64409 Other customer and information services representatives,"2,740",970,"1,770","1,340",525,820,"8,225","2,885","5,335","9,355","3,585","5,770","66,075","25,335","40,740","112,015","36,900","75,110","11,940","4,675","7,270","5,315","1,875","3,440","23,470","8,020","15,450","29,030","10,635","18,400",175,60,115,125,50,80,55,20,35
6441 Security guards and related security service occupations,"2,045","1,540",505,370,300,70,"3,730","2,895",840,"2,490","2,005",485,"35,685","27,935","7,750","46,920","35,295","11,625","5,385","4,140","1,245","4,515","3,265","1,260","14,530","10,695","3,835","16,615","12,890","3,730",130,105,25,250,175,75,205,170,35
64410 Security guards and related security service occupations,"2,045","1,540",505,370,300,70,"3,730","2,895",840,"2,490","2,005",485,"35,685","27,935","7,750","46,920","35,295","11,625","5,385","4,140","1,245","4,515","3,265","1,260","14,530","10,695","3,835","16,615","12,890","3,730",130,105,25,250,175,75,205,170,35
65 Sales and service support occupations,"29,790","10,790","18,995","9,280","3,130","6,150","55,670","20,670","35,005","46,525","17,720","28,805","478,170","205,485","272,690","723,440","280,305","443,140","70,380","26,865","43,510","60,720","22,160","38,555","230,805","82,240","148,565","274,110","100,530","173,580","2,195",925,"1,265","2,380",895,"1,490","2,485",975,"1,515"
651 Sales support occupations,"12,735","4,495","8,245","3,195","1,190","2,005","21,625","8,310","13,315","18,530","6,920","11,605","192,525","76,230","116,290","272,290","109,610","162,675","24,695","10,030","14,665","20,990","8,460","12,525","78,525","29,085","49,445","90,855","35,540","55,320",700,320,380,"1,000",380,615,"1,290",545,745
6510 Cashiers and other sales support occupations,"12,735","4,495","8,245","3,195","1,190","2,005","21,625","8,310","13,315","18,530","6,920","11,605","192,525","76,230","116,290","272,290","109,610","162,675","24,695","10,030","14,665","20,990","8,460","12,525","78,525","29,085","49,445","90,855","35,540","55,320",700,320,380,"1,000",380,615,"1,290",545,745
65100 Cashiers,"8,780","1,930","6,855","2,050",445,"1,605","13,635","3,335","10,300","12,125","2,840","9,285","112,900","22,900","90,005","155,350","34,165","121,185","13,365","3,440","9,930","11,240","2,665","8,580","44,740","10,720","34,025","52,725","12,915","39,805",400,85,315,630,165,470,800,120,685
65101 Service station attendants,265,240,25,85,65,25,280,220,65,390,330,60,"1,635","1,220",415,"2,790","2,095",695,"1,355","1,095",255,"1,695","1,230",465,"1,045",750,295,"1,150",815,330,30,30,0,40,30,10,55,50,0
"65102 Store shelf stockers, clerks and order fillers","3,515","2,275","1,240",945,630,320,"6,730","4,360","2,370","5,170","3,355","1,815","67,000","46,065","20,940","102,290","69,110","33,180","8,565","5,060","3,505","7,220","4,345","2,870","28,480","16,455","12,020","32,930","20,655","12,275",255,200,60,315,185,135,435,375,60
65109 Other sales related occupations,170,45,125,110,50,55,975,390,585,840,390,445,"10,990","6,045","4,940","11,860","4,245","7,615","1,415",440,975,830,225,605,"4,265","1,160","3,105","4,050","1,150","2,905",15,10,10,10,0,10,10,0,0
"652 Support occupations in food, accommodation and tourism","9,030","3,015","6,020","3,550","1,070","2,480","19,455","6,360","13,090","14,800","4,780","10,020","153,230","61,555","91,675","266,120","94,610","171,515","24,645","7,800","16,845","21,310","6,670","14,645","86,425","28,635","57,790","111,145","37,280","73,865",790,275,515,490,210,280,330,135,195
6520 Food support occupations,"7,945","2,575","5,370","3,105",855,"2,250","17,225","5,415","11,810","13,110","4,065","9,040","136,450","52,775","83,675","236,935","82,375","154,560","22,175","6,780","15,395","18,820","5,710","13,110","75,450","24,360","51,095","98,720","32,185","66,535",675,240,440,420,175,245,270,90,185
65200 Food and beverage servers,"1,605",320,"1,290",680,140,540,"3,815",765,"3,050","2,575",460,"2,120","33,265","9,200","24,065","48,750","12,190","36,560","5,375",990,"4,385","4,460",755,"3,705","19,445","3,695","15,745","28,785","6,205","22,580",130,35,95,80,15,65,65,0,60
"65201 Food counter attendants, kitchen helpers and related support occupations","6,115","2,050","4,065","2,395",690,"1,710","13,105","4,385","8,720","10,270","3,390","6,880","101,760","42,575","59,185","185,900","68,145","117,760","16,400","5,460","10,945","13,980","4,635","9,345","54,925","19,795","35,130","68,835","25,005","43,820",540,195,345,335,155,180,200,85,120
65202 Meat cutters and fishmongers - retail and wholesale,230,200,25,30,30,0,310,260,45,260,220,45,"1,420","1,005",420,"2,280","2,045",240,405,335,75,375,320,60,"1,085",865,220,"1,105",970,130,10,10,0,10,10,0,10,10,0
"6521 Support occupations in accommodation, travel, tourism and amusement services",675,410,265,345,210,135,"1,280",815,465,"1,055",615,440,"10,470","7,335","3,135","15,060","9,815","5,250","1,420",885,535,"1,550",845,705,"6,230","3,575","2,650","6,750","4,125","2,620",75,40,40,45,20,20,50,45,10
