Geography,Newfoundland and Labrador,Newfoundland and Labrador,Newfoundland and Labrador,Prince Edward Island,Prince Edward Island,Prince Edward Island,Nova Scotia,Nova Scotia,Nova Scotia,New Brunswick,New Brunswick,New Brunswick,Quebec,Quebec,Quebec,Ontario,Ontario,Ontario,Manitoba,Manitoba,Manitoba,Saskatchewan,Saskatchewan,Saskatchewan,Alberta,Alberta,Alberta,British Columbia,British Columbia,British Columbia,Yukon Territory,Yukon Territory,Yukon Territory,Northwest Territories,Northwest Territories,Northwest Territories,Nunavut,Nunavut,Nunavut
Gender (3) 5 6,Total,Men,Women,Total,Men,Women,Total,Men,Women,Total,Men,Women,Total,Men,Women,Total,Men,Women,Total,Men,Women,Total,Men,Women,Total,Men,Women,Total,Men,Women,Total,Men,Women,Total,Men,Women,Total,Men,Women
"1411 Survey, statistical and data entry occupations","1,260",320,940,440,115,325,"2,220",605,"1,610","1,760",520,"1,235","11,695","3,725","7,970","25,170","7,670","17,505","3,375",885,"2,490","2,790",685,"2,105","8,510","1,985","6,530","8,225","2,115","6,110",155,15,140,110,20,90,90,25,70
14110 Survey interviewers and statistical clerks,660,175,485,180,80,100,605,225,380,675,240,435,"3,010","1,225","1,785","5,640","2,390","3,245","1,210",430,785,"1,455",485,970,"2,030",735,"1,300","2,485",900,"1,585",80,0,75,50,15,35,25,0,15
14111 Data entry clerks,590,135,455,260,30,230,"1,615",380,"1,230","1,055",255,795,"8,450","2,375","6,075","19,240","5,120","14,115","2,140",450,"1,685","1,315",195,"1,120","6,375","1,220","5,160","5,655","1,155","4,495",75,10,65,60,10,60,65,15,50
14112 Desktop publishing operators and related occupations,10,10,0,0,0,0,0,0,0,35,20,10,240,130,110,295,155,140,30,10,20,20,10,15,105,35,70,85,60,30,0,0,0,0,0,0,0,0,0
"142 Financial, insurance and related administrative support workers","2,270",365,"1,905",810,175,635,"5,015",875,"4,145","4,145",730,"3,410","49,545","8,890","40,655","86,620","19,340","67,280","9,055","1,880","7,180","5,235",840,"4,405","24,555","4,065","20,490","28,485","5,325","23,160",285,35,250,265,35,230,195,30,165
"1420 Financial, insurance and related administrative support workers","2,270",365,"1,905",810,175,635,"5,015",875,"4,145","4,145",730,"3,410","49,545","8,890","40,655","86,620","19,340","67,280","9,055","1,880","7,180","5,235",840,"4,405","24,555","4,065","20,490","28,485","5,325","23,160",285,35,250,265,35,230,195,30,165
14200 Accounting and related clerks,"2,060",330,"1,730",725,160,560,"4,375",745,"3,630","3,450",590,"2,865","41,970","6,560","35,405","69,820","14,390","55,425","7,695","1,600","6,090","4,525",690,"3,835","22,265","3,665","18,605","24,870","4,440","20,435",275,35,240,260,40,220,185,25,155
"14201 Banking, insurance and other financial clerks",80,10,70,65,0,60,455,90,370,500,105,390,"4,400","1,190","3,210","9,935","2,875","7,060",990,190,800,535,115,425,"1,415",255,"1,160","2,335",575,"1,760",0,0,0,0,0,0,10,0,10
14202 Collection clerks,130,20,110,25,10,15,190,45,145,195,35,160,"3,175","1,140","2,035","6,865","2,070","4,800",375,90,285,180,35,145,875,145,725,"1,275",320,960,10,0,10,0,0,0,0,0,0
"143 Library, correspondence and other clerks",335,80,250,80,15,65,"1,130",210,925,690,100,590,"7,485","2,105","5,380","13,295","3,190","10,110","1,185",315,870,"1,340",240,"1,100","5,035",910,"4,120","5,220","1,170","4,050",65,10,60,40,10,30,30,10,25
"1430 Library, correspondence and other clerks",335,80,250,80,15,65,"1,130",210,925,690,100,590,"7,485","2,105","5,380","13,295","3,190","10,110","1,185",315,870,"1,340",240,"1,100","5,035",910,"4,120","5,220","1,170","4,050",65,10,60,40,10,30,30,10,25
